date,base_rate,cpi,m2,hh_loan,corp_bond,gov_bond,credit_spread,hh_loan_yoy
1995-01-01,,50.847,,,,,,
1995-02-01,,51.055,,,,,,
1995-03-01,,51.574,,,,,,
1995-04-01,,51.886,,,,,,
1995-05-01,,51.99,,,,,,
1995-06-01,,51.835,,,,,,
1995-07-01,,51.99,,,,,,
1995-08-01,,52.302,,,,,,
1995-09-01,,52.77,,,,,,
1995-10-01,,52.511,,,,,,
1995-11-01,,52.406,,,,,,
1995-12-01,,52.77,,,,,,
1996-01-01,,53.289,,,,,,
1996-02-01,,53.499,,,,,,
1996-03-01,,53.862,,,,,,
1996-04-01,,54.226,,,,,,
1996-05-01,,54.538,,,,,,
1996-06-01,,54.538,,,,,,
1996-07-01,,54.798,,,,,,
1996-08-01,,55.057,,,,,,
1996-09-01,,55.162,,,,,,
1996-10-01,,55.162,,,,,,
1996-11-01,,55.162,,,,,,
1996-12-01,,55.369,,,,,,
1997-01-01,,55.786,,,,,,
1997-02-01,,56.097,,,,,,
1997-03-01,,56.305,,,,,,
1997-04-01,,56.565,,,,,,
1997-05-01,,56.617,,,,,,
1997-06-01,,56.721,,,,,,
1997-07-01,,56.825,,,,,,
1997-08-01,,57.24,,,,,,
1997-09-01,,57.502,,,,,,
1997-10-01,,57.502,,,,,,
1997-11-01,,57.553,,,,,,
1997-12-01,,59.009,,,,,,
1998-01-01,,60.413,,,,,,
1998-02-01,,61.453,,,,,,
1998-03-01,,61.349,,,,,,
1998-04-01,,61.557,,,,,,
1998-05-01,,61.245,,,,,,
1998-06-01,,60.985,,,,,,
1998-07-01,,60.985,,,,,,
1998-08-01,,61.192,,,,,,
1998-09-01,,61.453,,,,,,
1998-10-01,,61.66,,,,,,
1998-11-01,,61.453,,,,,,
1998-12-01,,61.349,,,,,,
1999-01-01,,61.297,,,,,,
1999-02-01,,61.557,,,,,,
1999-03-01,,61.66,,,,,,
1999-04-01,,61.816,,,,,,
1999-05-01,4.75,61.712,,,,,,
1999-06-01,4.75,61.349,,,,,,
1999-07-01,4.75,61.14,,,,,,
1999-08-01,4.75,61.765,,,,,,
1999-09-01,4.75,61.921,,,,,,
1999-10-01,4.75,62.389,,,,,,
1999-11-01,4.75,62.284,,,,,,
1999-12-01,4.75,62.18,,,,,,
2000-01-01,4.75,62.456,,,,,,
2000-02-01,5.0,62.647,,,,,,
2000-03-01,5.0,62.962,,,,,,
2000-04-01,5.0,62.709,,,,,,
2000-05-01,5.0,62.393,,,,,,
2000-06-01,5.0,62.709,,,,,,
